ID Paper;Title;ID Search Session;Authors;Abstract;Status/Selection;Status/Extraction;Reading Priority;Score;Year;Journal;Keywords;Type;comment;URL;Volume;Pages;DOI;ISSN/ISBN;Importation Date;Columna1;(E) The paper is not written in English;(E) The paper is not related to a Smart Contract language;(E) The paper is a tutorial  or poster summary only.;(E) The paper occurs multiple times in the result set;(E) The paper’s full text is not available for download;(I) Title, keyword list, and abstract make explicit that the paper is related to Smart Contract language.;(E) The paper is published before 1991;(E) It is a patent;(E)The paper is not accesible electronically;Columna2;Name;Paradigm : Imperative;Paradigm : Declarative;Paradigm : Symbolic;Paradigm : Undetermined};Supported by blockchain platform : Yes;Supported by blockchain platform : No};Blockchain name;DSL Type : Standalone;DSL Type : Extension};Focus;Institution name;Insitution origin : Academia;Insitution origin : Industry};Challenges;Use cases;Kind : Implementation;Kind : Specification;Kind : Unknown};
9524;Designing secure Ethereum smart contracts: A finite state machine based approach;11;"Mavridou, A ; Laszka, A";he adoption of blockchain-based distributed computation platforms is growing fast. Some of these platforms, such as Ethereum, provide support for implementing smart contracts, which are envisioned to have novel applications in a broad range of areas, including finance and Internet-of-Things. However, a significant number of smart contracts deployed in practice suffer from security vulnerabilities, which enable malicious users to steal assets from a contract or to cause damage. Vulnerabilities present a serious issue since contracts may handle financial assets of considerable value, and contract bugs are non-fixable by design. To help developers create more secure smart contracts, we introduce FSolidM, a framework rooted in rigorous semantics for designing con- tracts as Finite State Machines (FSM). We present a tool for creating FSM on an easy-to-use graphical interface and for automatically generating Ethereum contracts. Further, we introduce a set of design patterns, which we implement as plugins that developers can easily add to their contracts to enhance security and functionality.;ACCEPTED;ACCEPTED;LOW;5;2017;CoRR;;arXiv;"To  help  developers  create  more  secure  smart  contracts,  we  introduce FSolidM ,  a  framework  rooted  in  rigorous  semantics  for  designing  contracts as Finite State Machines (FSM). 

I think it explain the same ideas than in Tool Demonstration: FSolidM for Designing Secure Ethereum Smart Contracts (0026), a previous accepted paper.";https://arxiv.org/pdf/1711.09327.pdf;;;abs/1711.09327;;;;N;N;N;N;N;Y;N;N;N;;FSolidM (based on FSM);N;Y;N;N;Y;N;Ethereum (Solidity) /Agnostic;Y;N;Security;"Vanderbilt University
University of Houston";Y;N;"(1) We plan to integrate model checkers and compositional verification tools into our framework to enable the verification of security and safety properties.
(1) We plan to extend our framework in multiple directions. First, we will introduce a number of plugins, implementing various security features and design patterns. We will provide security plugins for all the vulnerability types identified in [13] that can be addressed on the level of Solidity code. We will also
provide plugins implementing the most popular design patterns surveyed in [14].

(2) Second, we will integrate verification tools [11,12] and correctness-by-design techniques [21] into our framework.

(3) We will enable develop ers to mo del and verify multiple interacting
contracts as a set of interacting FSMs. ";null;N;Y;N; 
9551;Ekiden: A Platform for Confidentiality-Preserving, Trustworthy, and Performant Smart Contract Execution;11;"Raymond Cheng;Fan Zhang; Jernej Kos; Warren He; Nicholas Hynes; Noah M. Johnson; Ari Juels; Andrew Miller; Dawn Song";"Smart contracts are applications that execute on blockchains. Today they manage billions of dollars in value and motivate visionary plans for pervasive blockchain deployment. While smart contracts inherit the availability and other security assurances of blockchains, however, they are impeded by blockchains' lack of confidentiality and poor performance.
We present Ekiden, a system that addresses these critical gaps by combining blockchains with Trusted Execution Environments (TEEs). Ekiden leverages a novel architecture that separates consensus from execution, enabling efficient TEE-backed confidentiality-preserving smart-contracts and high scalability. Our prototype (with Tendermint as the consensus layer) achieves example performance of 600x more throughput and 400x less latency at 1000x less cost than the Ethereum mainnet.
Another contribution of this paper is that we systematically identify and treat the pitfalls arising from harmonizing TEEs and blockchains. Treated separately, both TEEs and blockchains provide powerful guarantees, but hybridized, though, they engender new attacks. For example, in naive designs, privacy in TEE-backed contracts can be jeopardized by forgery of blocks, a seemingly unrelated attack vector. We believe the insights learned from Ekiden will prove to be of broad importance in hybridized TEE-blockchain systems. ";ACCEPTED;ACCEPTED;LOW;5;2018;CoRR;;arXiv;"I don't know clearly if Ekiden provides a new Smart contract language, so I'll add it just in case.
DISCUSSION:
TR- Tengo dudas del lenguaje. El articulo habla del sistema y dice que los smart contracts están
AJ- Aceptamos. Soporta multiples lenguajes de Smart Contract pero aumenta capacidades de los mismos.		";https://arxiv.org/pdf/1804.05141.pdf;abs/1804.05141;;;;;;N;N;N;N;N;Y;N;N;N;;Ekiden contracts;N;Y;N;N;Y;N;Ekiden;Y;N;Confidentiality; UC Berkeley Cornell Tech UIUC Oasis Labs;Y;N;The system currently does not support calling contract functions from another contract. We leave this for future work.;"credit scoring application
Machine Learn ing Contracts:
Smart Building Thermal Modeling:
Tokens:
Poker
CryptoKitties
Origin
";Y;N;N; 
9657;A modern programming language for smart contracts;11;Roberts, N;"Blockchain platforms such as Ethereum have risen in popularity with programmers wishing to deploy their own decentralized applications (“smart contracts”). Because execution cost is paid in real currency, it’s desirable for smart contract programming languages to provide high-level features that clearly correspond to the cost model of Ethereum.
In this report, we introduce a language for writing smart contracts based on OCaml, a popular multi-paradigm language. The main technical contribution is retargeting the OCaml bytecode compiler to the Ethereum Virtual Machine. We evaluate the performance and usability of this implementation relative to Solidity, the most popular smart contract language. This is a fist step towards using Resource Aware
ML to automatically predict the execution cost of smart contracts";ACCEPTED;ACCEPTED;LOW;10;2018;andrew.cmu.edu;Compilers, blockchain, Ethereum, Resource Aware ML;Report;"Es un report.

Ahora mismo no hay acceso";https://ncik-roberts.github.io/15400/files/report.pdf;;;;;;;N;N;N;N;N;Y;N;N;N;;null ¿OCaml?;Y;N;N;N;Y;N;Ethereum;Y;N;bytecode, EVM retargeting;Carnegie Mellon University;Y;N;"In future work, this implementation could allow for interfacing with existing static analysis tools related to OCaml, such as Resource Aware ML.

The original motivation for this work was to develop a framework for bounding the resource consumption of smart contracts. Resource Aware ML (RAML)[5] is such a resource analysis framework for a language similar to OCaml, so we wished to investigate whether its techniques could be extended to a setting of the blockchain

To make OCaml feasible as a frontend language for Ethereum developers, performance is the path forward";lottery contract;Y;N;N; 
9692;Formal Modeling and Verification of Smart Contracts;11;"Bai, X ; Cheng, Z ; Duan, Z ; Hu, K";Smart contracts can automatically perform the contract terms according to the received information, and it is one of the most important research fields in digital society. The core of smart contracts is algorithm contract, that is, the parties reach an agreement on the contents of the contract and perform the contracts according to the behaviors written in certain computer algorithms. It not only needs to make sure about the correctness of smart contracts code, but also should provide a credible contract code execution environment. Blockchain provides a trusted execution and storage environment for smart contracts by the distributed secure storage, consistency verification and encryption technology. Current challenge is how to assure that smart contract can be executed as the parties' willingness. This paper introduces formal modeling and verification in formal methods to make smart contract model and verify the properties of smart contracts. Formal methods combined with smart contracts aim to reduce the potential errors and cost during contract development process. The description of a general and formal smart contract template is provided. The tool of model checking, SPIN, is used to verify the correctness and necessary properties for a smart contract template. The research shows model checking will be useful and necessary for smart contracts;ACCEPTED;ACCEPTED;LOW;5;2018;ICSCA 2018: Proceedings of the 2018 7th International Conference on Software and Computer Applications;Formal Verification, Formal methods, Model checking, Modeling, SPIN, Smart contracts ;Conference Paper;It could be seen as a formal smart contract language, so I'm going to add it, just in case.;https://dl.acm.org/citation.cfm?id=3185138;;322-326;10.1145/3185089.3185138;978-1-4503-5414-1;;;N;N;N;N;N;Y;N;N;N;;null;N;Y;N;N;Y;N;null;Y;N;Verification;"Beihang University, Beijing
Laboratory of Space-Ground Integrated Information Technology, Beijing Institute of Satellite Information Engineering,";Y;N;"The research shows model checking will be useful and necessary
for smart contracts.";Shopping smart contract;N;Y;N; 
9710;An introduction to Commitment Based Smart Contracts using ReactionRuleML;11;"Kruijff, J de ; Weigand, H";Smart contracts gain rapid exposure since the inception of blockchain technology.    Today's  smart  contracts  are  coded  in  non-mainstream procedural  programming  languages  (e.g.  Solidity  for  Ethereum), which lifts the requirement to draft enterprise ready smart contract to both a legal professional and a programmer instead of only the former. In search for a smart contract languagethat reduces the threshold to draft one, this conceptual paper elaborates how business logic can be converted to executable codeforcommitment-based smart contracts. Hereby, a contract is viewed as a set of reciprocal commitments. Thesmart contract ensuresthe automated execution of all or most of these commitments. In  order  to  leverageits  event  processing  capabilities, Reaction RuleML has  been used to  appropriately  represent the elements and   working ofpassive   and   active ruleswithin   acommitment based smart;ACCEPTED;ACCEPTED;LOW;5;2018;Proceedings of the 12th International Workshop on Value Modeling and Business Ontologies;RuleML, Reaction  RuleML,  Blockchain,Commitment-Based Smart Contracts;Workshop paper;It uses RuleML as a language for defining Smart-Contract;http://ceur-ws.org/Vol-2239/article_16.pdf;2239;149-157;;1613-0073;;;N;N;N;N;N;Y;N;N;N;;Reaction RuleML ;N;Y;N;N;N;Y;n/a;N;Y;"legal practice
commitment-based smart contracts";Tilburg University;Y;N;"(1) An important next step for the development of commitment based smart
contracts as a concept is to apply it in distinctive use-cases and
implementation options.
(2) as well as the verification of input events, in particular when these events are outside the blockchain.";null;N;Y;N; 
9784;Fun with Bitcoin smart contracts;11;"Bartoletti, M ; Cimoli, T ; Zunino, R";Besides simple transfers of currency, Bitcoin also enables various forms of smart contracts, i.e. protocols where users interact within pre-agreed rules, which determine (possibly depending on the actual interaction) how currency is eventually distributed. This paper provides a gentle introduction to Bitcoin smart contracts, which we specify by abstracting from the underlying Bitcoin machinery. To this purpose we exploit BitML, a recent DSL for smart contracts executable on Bitcoin.;ACCEPTED;ACCEPTED;LOW;5;2018;International Symposium on Leveraging Applications of Formal Methods ISoLA 2018: Leveraging Applications of Formal Methods, Verification and Validation. Industrial Practice ;;Conference paper;This paper provides a gentle introduction to Bitcoin smart contracts, which we specify byabstracting from the underlying Bitcoin machinery. To this purpose weexploit BitML, a recent DSL for smart contracts executable on Bitcoin;https://link.springer.com/chapter/10.1007/978-3-030-03427-6_32;11247;;https://doi.org/10.1007/978-3-030-03427-6_32;978-3-030-03427-6;;;N;N;N;N;N;Y;N;N;N;;BitML;N;Y;N;N;Y;N;Bitcoin;N;Y;"Safety
";"Universit` a degli Studi di Cagliari, Cagliari, Italy
Universit` a degli Studi di Trento, Trento, Italy";Y;N;"Although BitML can express many of the smart contracts appeared in the literature [4], there exist some contracts which can be executed on Bitcoin but are not expressible in BitML. Ex. contingent payment contracts.

Another kind of contracts which are not expressible in BitML are
those for which one cannot pre-determine a finite set of transactions, or of signatures, before executing the contract. This is the case, e.g. , of crowdfunding contracts

The existence of negative results on the expressiveness of Bitcoin contracts is still an open question";"contract advertisement 
Direct Payment
Payment from Multiple Senders
Procrastinating Payments
Authorizing Payments
Splitting Deposits
Volatile Deposits
Revealing Secrets
Lotteries and Other Games";Y;N;N; 
9868;BitML: a calculus for Bitcoin smart contracts;11;"Bartoletti, M ; Zunino, R";"We intro duce BitML, a domain-specifi language for specifying contracts that regulate transfers of bitcoins among participants,
without relying on trusted intermediaries. We defnie a symbolic and a computational mo del for reasoning about BitML security. In
the symbolic model, participants act according to the semantics of BitML, while in the computational mo del they exchange bitstrings,
and read/app end transactions on the Bitcoin blo ckchain. A compileris provide d to translate contracts into standard Bitcoin transactions.
Participants can execute a contract by app ending these transactions on the Bitcoin blo ckchain, according to their strategies. We prove
the correctness of our compiler, showing that computational attacks on compiled contracts are also obser vable in the symbolic model.";ACCEPTED;ACCEPTED;LOW;5;2018;Proceedings of the 2018 ACM SIGSAC Conference on Computer and Communications Security (CCS '18);"Bitcoin; smart contracts; process calculi";Conference Paper;;https://dl.acm.org/citation.cfm?doid=3243734.3243795;;83-100;https://doi.org/10.1145/3243734.3243795;978-1-4503-5693-0;;;N;N;N;N;N;Y;N;N;N;;BitML;N;Y;N;N;Y;N;Bitcoin;N;Y;Safety;"University of Cagliari
University of Trento";Y;N;Although BitML can express many of the smart contracts appeared in literature [14], it has some limitations. For instance, it cannot express contingent payments, ;null;Y;N;N; 
309615;Solidity Documentation;13;Ethereum;;ACCEPTED;ACCEPTED;LOW;0;2019;;;WebSite;https://solidity.readthedocs.io/en/develop/;https://solidity.readthedocs.io/en/latest/;;;;;07/01/2019;;N;N;N;N;N;Y;N;N;N;;Solidity;Y;N;N;N;Y;N;Ethereum;Y;N;Blockchain;Independant and Ethereum developers;N;Y;null;"voting, 
crowdfunding, 
blind auctions, 
and multi-signature wallets.";Y;N;N; 
309616;DAML SDK Documentation;13;Digital Asset (Switzerland) GmbH;;ACCEPTED;ACCEPTED;LOW;0;2017;;;WebSite;https://daml.com/;https://docs.daml.com/_downloads/DigitalAssetSDK.pdf;;;;;07/01/2019;;N;N;N;N;N;Y;N;N;N;;DAML;Y;N;N;N;Y;N;Digital Asset Ledger;Y;N;"multi-party business processes
These are examples: Financial products and services
";Digital ASset;N;Y;null;Financial products and services;Y;N;N; 
316904;A Formal Language for Analyzing Contracts;14;Nick Szabo;;ACCEPTED;ACCEPTED;LOW;0;2002;;;WebSite;;https://nakamotoinstitute.org/contract-language/;;;;;07/01/2019;;N;N;N;N;N;Y;N;N;N;;null;N;Y;N;N;N;Y;n/a;N;Y;"Verification
financial contracts
financial contracts, liens and other kinds of security, transfer of ownership, performance of online services, and supply chain workflow.";"Satoshi Nakamoto Institute

";Y;N;Implementations that satisfy the above assumptions for the particular language atoms, and also for compositions of the atoms.;"* well-known financial contract, the future
* another kind of financial contract the option
* Damage Clauses
* Insurance
* multiparty agreements
* Hooking Up Machines";N;Y;N; 
355426;Codius - White paper;15;Evan Schwartz and Stefan Thomas;;ACCEPTED;ACCEPTED;LOW;0;2018;;;White Paper;"https://codius.org/docs/overview/what-is-codius

Accepted but is currently in beta status
DISCUSSION

TR-Tengo dudas, creo que proponen smart oracles, no un lenguaje de smart contract. The smart oracles are trusted or semi-trusted entities that can both provide information about the outside world and execute the code to which the contracting parties agreed	

AV-Aceptamos como lenguaje. Sacado de la referencia. Smart oracles provide a simple, flexible way to implement smart contracts, which encode business logic, laws, and other agreed-upon rules. Smart oracles build on the idea of oracles, or entities that provide smart contracts with information about the state of the outside world, and combine information gathering with contract code execution. In such a system, rules can be written in any programming language and contracts can interact with any service that accepts cryptographically signed commands.
";https://github.com/codius/codius-wiki/wiki/White-Paper;;;;;07/03/2019;;N;N;N;N;N;Y;N;N;N;;Codius;Y;N;N;N;N;Y;Bitcoin, XRP;Y;N;smart oracles;Codius;N;Y;null;"Bridges between value networks
Escrow
Cryptocurrency wallet controls
Auctions for digital assets
Derivatives
Debt and equity
Smart property
Voting";Y;N;N; 
361026;Ivy for Bitcoin: a smart contract language that compiles to Bitcoin Script;25;Chain;;ACCEPTED;ACCEPTED;LOW;0;2017;;;Website;"https://ivy-lang.org/bitcoin
https://docs.ivy-lang.org/bitcoin/";https://blog.chain.com/ivy-for-bitcoin-a-smart-contract-language-that-compiles-to-bitcoin-script-bec06377141a;;;;;07/05/2019;;N;N;N;N;N;Y;N;N;N;;Ivy;Y;N;N;N;Y;N;Bitcoin;Y;N;Blockchain;Chain;N;Y;"Ivy is prototype software and is intended for educational purposes only
The Ivy Playground and SDK do not currently support creating testnet or mainnet transactions";"* LockWithPublicKey
* LockWithMultiSig
* LockWithPublicKeyHash
* RevealPreimage
* RevealCollision
* RevealFixedPoint
* LockUntil
* LockDelay
* TransferWithTimeout
* EscrowWithDelay
* VaultSpend
* HTLC
";Y;N;N; 
361064;Bamboo: a language for morphing smart contracts;30;Yoichi hirai;;ACCEPTED;ACCEPTED;LOW;10;2017;;;Github page;"cornell blockchain
https://github.com/pirapira/bamboo
 https://github.com/cornellblockchain/bamboo";https://github.com/pirapira/bamboo;;;;;07/05/2019;;N;N;N;N;N;Y;N;N;N;;Bamboo;Y;N;N;N;Y;N;Ethereum;N;Y;Polymorphic contracts;Cornell University Blockchain Club;N;Y;null;"* A payment channel
* An ERC20 contract
* A vault
";Y;N;N; 
361073;Babbage - a mechanical smart contract language;22;Christian;;ACCEPTED;ACCEPTED;LOW;10;2017;;;Blog;Visual DSL ;https://medium.com/@chriseth/babbage-a-mechanical-smart-contract-language-5c8329ec5a0e;;;;;07/05/2019;;N;N;N;N;N;Y;N;N;N;;Babbage;N;N;Y;N;Y;N;Ethereum;Y;N;Visual programming;Ethereum;N;Y;It is an idea, not an implementation.;null;Y;N;N; 
361076;The Liquidity Language for smart contracts;22;Fabrice Le Fessant  and Alain Mebsout and David Declerk and Adrien Champion;;ACCEPTED;ACCEPTED;LOW;10;2018;;;WebSite;;http://www.liquidity-lang.org/;;;;;07/05/2019;;N;N;N;N;N;Y;N;N;N;;Liquidity;Y;N;N;N;Y;N;Tezos;N;Y;null;OCalmPro;N;Y;null;A Game with an oracle;N;N;N; 
361077;Michelson: the language of Smart Contracts in Tezos;22;Nomadic Labs;;ACCEPTED;ACCEPTED;LOW;10;2018;;;WebSite;"http://www.liquidity-lang.org/doc/reference/michelson.html
https://www.michelson-lang.com/";https://tezos.gitlab.io/master/whitedoc/michelson.html;;;;;07/05/2019;;N;N;N;N;N;Y;N;N;N;;Michelson;N;Y;N;N;Y;N;Tezos;Y;N;Blockchain;Tezos;N;Y;null;"Map to fold
Sorting a list
A list of transactions
Append two lists
More Set Operations";Y;N;N; 
361078;Formal Specification of the Plutus Core Language (rev. 10);22;Michael Peyton Jones;;ACCEPTED;ACCEPTED;LOW;5;2018;;;GitHub page;"https://github.com/input-output-hk/plutus
https://testnet.iohkdev.io/plutus/get-started/writing-contracts-in-plutus/
";https://cardanodocs.com/technical/plutus/introduction;;;;;07/05/2019;;N;N;N;N;N;Y;N;N;N;;Plutus;N;Y;N;N;Y;N;Cardano;Y;N;"Plutus is intended for use by
    “financial institutions, places that do electronic trading and other such financial operations with money at stake.” (https://blockgeeks.com/guides/vyper-plutus/)

Plutus, IOHK’s Haskell-based smart contract language. Haskell is a functional programming language, which means it’s easier to test and less prone to human error, so anything written in Haskell – and by extension Plutus – is more likely to be reliable and secure. Plutus can also be used for both on and off-chain code, simplifying the development experience and eliminating errors commonly introduced in the transition between languages on and off-chain.
";IOHK;N;Y;null;null;N;N;N; 
361079;Contracts, Composition, and Scaling.The Rholang specification;22;Lucius Gregory Meredith, Jack Pettersson, Gary Stephenson, Michael Stay, Kent Shikama, Joseph Denman;;ACCEPTED;ACCEPTED;LOW;0;2018;;;Report;"https://architecture-docs.readthedocs.io/
https://github.com/rchain/Rholang";https://developer.rchain.coop/assets/rholang-spec-0.2.pdf;;;;;07/05/2019;;N;N;N;N;N;Y;N;N;N;;Rholang;N;Y;N;N;Y;N;RChain;N;Y;social contract;RChain;N;Y;null;"Cell contract
Wallet contract
";N;N;N; 
361081;Vyper - Vyper documentation;22;Vitalik Buterin;;ACCEPTED;ACCEPTED;LOW;0;2018;;;WebSite;"https://blockonomi.com/scilla-vyper/
https://vyper.readthedocs.io/en/latest/?badge=latest";https://viper.readthedocs.io/en/latest/;;;;;07/05/2019;;N;N;N;N;N;Y;N;N;N;;Vyper;Y;N;N;N;Y;N;Ethereum;Y;N;Cryptocurrency;Ethereum;N;Y;null;"* Simple Open Auction
* Safe Remote Purchases
* Crowdfund
* Voting
* Company Stock";N;N;N; 
361084;Peer-to-peer Affine Commitment Using Bitcoin;22;Crary, Karl and Sullivan, Michael J.;The power of linear and affine logic lies in their ability to model state change. However, in a trustless, peer-to-peer setting, it is difficult to force principals to commit to state changes. We show how to solve the peer-to-peer affine commitment problem using a generalization of Bitcoin in which transactions deal in types rather than numbers. This has applications to proof-carrying authorization and mechanically executable contracts. Importantly, our system can be---and is---implemented on top of the existing Bitcoin network, so there is no need to recruit computing power to a new protocol. ;ACCEPTED;ACCEPTED;LOW;0;2015;"Proceeding
PLDI '15 Proceedings of the 36th ACM SIGPLAN Conference on Programming Language Design and Implementation";Proof-carrying authorization, cryptocurrencies, distributed systems},;Conference paper;"Defines Typecoin

I have included it as a result of 413251 survey";http://doi.acm.org/10.1145/2813885.2737997;50;479--488;10.1145/2813885.2737997;0362-1340;07/05/2019;;N;N;N;N;N;Y;N;N;N;;Typecoin;Y;N;N;N;Y;N;Bitcoin;Y;N;Cryptocurrency;Carnegie Mellon University;Y;N;* Using receipts and conditionals, we can extend the newcoin example in several interesting ways;"* proof-carrying authorization 
* mechanically executable contracts";Y;N;N; 
361085;Zen Protocol's Smart Contract Paradigm - Zen Protocol;22;Asher Manning;;ACCEPTED;ACCEPTED;LOW;5;2017;;;Blog;"Language: https://docs.zenprotocol.com/zf
https://medium.com/@ethereumwisdom/zen-protocol-smart-contracts-on-bitcoin-blockchain-83b7bf7ed3f2
https://www.zenprotocol.com/files/technical_paper.pdf

TR- Tengo dudas, habla sobre el protocolo, no sobre el lenguaje	
AV-Aceptamos. Encontré esta referencia: https://docs.zenprotocol.com/zf 
En ella se habla de ZF  como lenguaje de smart contract dialecto de F  para Zen Protocol. Y según la web de Zen se usa no solo para finance sino para tokenized assets, assurances, derivatives, currency, .... ";https://blog.zenprotocol.com/zen-protocols-smart-contract-paradigm-a6e54a187d84;;;;;07/05/2019;;N;N;N;N;N;Y;N;N;N;;ZF*;N;Y;N;N;Y;N;Zen Protocol;N;Y;Blockchain this paper presents a blockchain;Zen;N;Y;null;null;Y;N;N; 
372637;Script;40;Roconnor;;ACCEPTED;ACCEPTED;LOW;0;2016;;;Wiki page;"http://bitcoinscri.pt/
https://medium.com/lumiwallet/bitcoin-smart-contracts-b3ae6a4b3041";https://en.bitcoin.it/w/index.php?title=Script&oldid=61707;;;;;07/07/2019;;N;N;N;N;N;Y;N;N;N;;Script;Y;N;N;N;Y;N;Bitcon;Y;N;Cryptocurrency;Bitcoin;N;Y;null;null;Y;N;N; 
405754;A Method of Logic-Based Smart Contracts for Blockchain System;44;Hu, Jingwen and Zhong, Yong;Recently, blockchain systems have attracted intensive attentions from academia, industrial circles and governments, which make smart contract a hit since it is an important research topic for blockchain system. We propose a logic-based smart contract model Logic-SC for blockchain system based on semantics and syntax of Active-U-Datalog with some temporal extensions. Logic-SC model owns a triggering mechanism by temporal active rules, which can satisfy the expressiveness and flexibility of the smart contracts for blockchain system. The paper introduces the rules, structure of contracts and implementation of the model. Finally, an application is exampled to show the effectiveness of the model.;ACCEPTED;ACCEPTED;LOW;9;2018;Proceedings of the International Conference on Data Processing and Applications;Active-U-Datalog, Blockchain, Smart contract, logic language;Conference paper;Extension of Active-U-Datalog;http://doi.acm.org/10.1145/3224207.3224218;;58--61;10.1145/3224207.3224218;978-1-4503-6418-8;07/11/2019;;N;N;N;N;N;Y;N;N;N;;Logic-SC;N;Y;N;N;Y;N;Agnostic;N;Y;"Active Rules,
Temporal Aspects";Foshan Open University;N;Y;"we plan to research integral expressing language for the model with the syntax and semantics. And the practical application of the model on blockchain platform is also needed to
be investigated further.";"* licensing contractual clauses for the evaluation of a product
*";Y;N;N; 
405758;Light-Weight Programming Language for Blockchain (Demo);44;Kim, Junhui and Kim, Joongheon;"This demo abstract introduces a new light-weight programming language koa which is suitable for blockchain system design and implementation. In this abstract, the basic features of koa are introduced including working system (with playground), architecture, and virtual machine operations. Rum-time execution of software implemented by koa will be presented during the session.
";ACCEPTED;ACCEPTED;LOW;9;2019;Proceedings of the 17th Annual International Conference on Mobile Systems, Applications, and Services;blockchain, programming language, smart contract;Conference paper;https://github.com/DE-labtory/koa;http://doi.acm.org/10.1145/3307334.3328567;;653--654;10.1145/3307334.3328567;978-1-4503-6661-8;07/11/2019;;N;N;N;N;N;Y;N;N;N;;koa;Y;N;N;N;Y;N;"Bitcoin?? (see ""This language, called Koa, solves difiulties of understanding and analyzes the code what the scriptlanguage of the Bitcoin has with high-level language style"". ";Y;N;Blockchain;Chung-Ang University;N;Y;null;null;N;N;N; 
405830;Towards Agent-Oriented Blockchains: Autonomous Smart Contracts;45;Ciatto, Giovanniand Maffi, Alfredoand Mariani, Stefanoand Omicini, Andrea;Features of blockchain technology (BCT) such as decentralisation, trust, fault tolerance, and accountability, are of paramount importance for multi-agent systems (MAS). In this paper we argue that a principled approach to MAS-BCT integration cannot overlook the foundational character of agency---that is, autonomy. Accordingly, we present a custom BCT implementation where autonomy is placed in smart contracts (SC) interpreted as software agents. We show how agency can enhance SC expressiveness with autonomy, situatedness, sociality, and intelligence, and highlight the limitations of state-of-art BCT in supporting MAS design and implementation.;ACCEPTED;ACCEPTED;LOW;8;2019;"International Conference on Practical Applications of Agents and Multi-Agent Systems
PAAMS 2019: Advances in Practical Applications of Survivable Agents and Multi-Agent Systems: The PAAMS Collection ";Autonomy Smart contracts Blockchain Multi-agent systems ;Conference paper;"As a first stop in our investigation, we propose Tenderfone2, a language and associated interpreter for the execution of autonomous, asynchronous, time-aware, and logic-based SC, implemented on top of the ledger-based SMR engine Tendermint [10]. First, we model the language for programming SC, then we describe the Tenderfone Interpreter, emphasising the assumptions required for the underlying BCT. In fact, as we chose Tendermint as our implementation platform, any other BCT satisfying such assumptions could be used instead.

Tenderfone language is a declarative language based on First Order Logic (FOL), hence the associated Tenderfone Interpreter is essentially a logic-based reasoning
engine ";https://link--springer--com.us.debiblio.com/chapter/10.1007/978-3-030-24209-1_3;;29--41;https://doi.org/10.1007/978-3-030-24209-1_3;978-3-030-24209-1;07/11/2019;;N;N;N;N;N;Y;N;N;N;;Tenderfone;N;Y;N;N;Y;N;Tendermint;N;Y; agents;Alma Mater Studiorum–Universit`a di Bologna, Bologna, Italy;Y;N;"e endow SC with autonomy, situatedness, and rationality; we draw a roadmap for SC towards agency;
1. encapsulation of control fl ow (for computational autonomy [15])
2. asynchronous interaction (for social autonomy [4])
3. reactiveness to time, space, environment (for situatedness)
4. logic inference (for goal-drivenness, weak agency)
5. BDI architecture (for goal-drivenness, strong agency)";the handling of a public tender;N;N;N; 
405858;Proof-Carrying Smart Contracts;45;Dickerson, Thomasand Gazzillo, Pauland Herlihy, Mauriceand Saraph, Vikramand Koskinen, Eric;We propose a way to reconcile the apparent contradiction between the immutability of idealized smart contracts and the real-world need to update contracts to fix bugs and oversights. Our proposal is to raise the contract's level of abstraction to guarantee a specification varphi instead of a particular implementation of that specification. A combination of proof-carrying code and proof-aware consensus allows contract implementations to be updated as needed, but so as to guarantee that varphi cannot be violated by any future upgrade.;ACCEPTED;ACCEPTED;LOW;8;2019;"International Conference on Financial Cryptography and Data Security
FC 2018: Financial Cryptography and Data Security ";;Conference paper;;https://link--springer--com.us.debiblio.com/chapter/10.1007/978-3-662-58820-8_22;;325--338;https://doi.org/10.1007/978-3-662-58820-8_22;978-3-662-58820-8;07/11/2019;;N;N;N;N;N;Y;N;N;N;;Proof-Carrying Smart Contracts (PCSC);Y;N;N;N;Y;N;Agnostic;N;Y;"update contracts
";"Brown University, Providence, USA
Stevens Institute of Technology, Hoboken, USA";Y;N;"The idea of mixing code and proofs goes back to Necula’s proof-carrying
code. The blockchain context, however, brings new challenges: What
format is needed for contracts’ specifications, and where are these specifications
stored? Which code needs to be verified? Who generates the proofs? How do
miners repeatedly validate the proofs? 

In our ongoing work, we are developing verification to ols for PCSC, building on
recent works for verification of solidity

There are already verification challenges at the source code level, being tackled by us and
others 

Much remains to be done on proof-carrying smart contracts. The work
reported here is still in an early stage, and we are not yet far enough along
to report on progress or difficulties.

Future goals include formally modeling proof-carrying smart contracts and
creating an implementation as an extension of the Ethereum blockchain and virtual machine

Extending smart contracts with specifications requires defining extensions to the smart contract implementation language and the byteco de to represent the specifications as well as mappings from source code to bytecode specifications. 

For implementation, we intend to extend the c ontract virtual machine with new op codes to add new contracts with specifications as well as update them given a new proof.

Proof-carrying smart contracts open up new research questions. For instance,
how do we integrate proofs into blockchain consensus and how do mining and
consensus mechanisms, such as proof-of-work and proof-of-stake, interact with
formal proofs?";The ERC20 specification;N;Y;N; 
